"","RMSE","MaxE","iterations","size","train_set"
"1",0.18902478244894,0.55362454331375,"5","95","1"
"2",0.183267394450813,0.536923580952571,"10","95","1"
"3",0.183049712320877,0.537685244669354,"15","95","1"
"4",0.167243347197183,0.516608796362638,"20","95","1"
"5",0.209631759725464,0.634131203854382,"5","100","1"
"6",0.193250314890741,0.558969296646501,"10","100","1"
"7",0.193340746496145,0.557021103538903,"15","100","1"
"8",0.170777775421146,0.509853916065078,"20","100","1"
"9",0.207630311885784,0.578169882694944,"5","102","1"
"10",0.196900727964699,0.5432156942157,"10","102","1"
"11",0.196283137394277,0.551257120790143,"15","102","1"
"12",0.196595991389463,0.542905259393868,"20","102","1"
"13",0.20521004134265,0.588344167878694,"5","104","1"
"14",0.202062296815472,0.56790368306559,"10","104","1"
"15",0.201375315574931,0.571972570668737,"15","104","1"
"16",0.199729872222849,0.574725201879028,"20","104","1"
"17",0.204135572893529,0.569581455664518,"5","106","1"
"18",0.204460668885588,0.570426976809353,"10","106","1"
"19",0,0.578990555349336,"15","106","1"
"20",0.201492368750294,0.581402681215792,"20","106","1"
"21",0.207250743279163,0.594338190527888,"5","108","1"
"22",0.206631657024067,0.590804870149641,"10","108","1"
"23",0.206379794346709,0.592529461264887,"15","108","1"
"24",0.20369778953085,0.579940871789569,"20","108","1"
"25",0.169223778364584,0.397164778160503,"5","95","2"
"26",0.179338665566733,0.403361152515733,"10","95","2"
"27",0.178143373045394,0.401451452765719,"15","95","2"
"28",0.177587518967878,0.397111008981823,"20","95","2"
"29",0.19229363801342,0.409054963237389,"5","100","2"
"30",0.194360639558444,0.416485684911904,"10","100","2"
"31",0.192702089521109,0.412287179631345,"15","100","2"
"32",0.189278407850364,0.405625869530476,"20","100","2"
"33",0.188799604320625,0.411321113456925,"5","102","2"
"34",0.193059894269287,0.418658161551407,"10","102","2"
"35",0.191796255713514,0.413925572721539,"15","102","2"
"36",0.189069091231713,0.409440396317613,"20","102","2"
"37",0.192731196998442,0.416684747127551,"5","104","2"
"38",0.194250577114607,0.41940280674673,"10","104","2"
"39",0.19294718332812,0.414285185438286,"15","104","2"
"40",0.1901898265641,0.411842872188843,"20","104","2"
"41",0.193009034245805,0.413637876053724,"5","106","2"
"42",0.193821222356796,0.415594477455606,"10","106","2"
"43",0.193077206152329,0.413590497697148,"15","106","2"
"44",0.19236155577229,0.412727553544119,"20","106","2"
"45",0.194416335209284,0.414985729441234,"5","108","2"
"46",0.195682390272189,0.417473652773532,"10","108","2"
"47",0.194048438154618,0.413636684302611,"15","108","2"
"48",0.19384142741235,0.414326578022696,"20","108","2"
"49",0.116767003041495,0.237985256266794,"5","95","3"
"50",0.126872735449726,0.268861970439391,"10","95","3"
"51",0.132416549036698,0.289577714799616,"15","95","3"
"52",0.13578264801357,0.303641223016862,"20","95","3"
"53",0.155474159224149,0.361059401539593,"5","100","3"
"54",0.148453552244524,0.328312126298646,"10","100","3"
"55",0.147789991058738,0.334844689865866,"15","100","3"
"56",0.148319083776842,0.345209452502112,"20","100","3"
"57",0.150988334695924,0.367149640838835,"5","102","3"
"58",0.145498452307228,0.33456697479696,"10","102","3"
"59",0.145585919903564,0.334300113086692,"15","102","3"
"60",0.14585187310223,0.344687811167144,"20","102","3"
"61",0.155430086749147,0.364541438086513,"5","104","3"
