"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","y"
0.05504587,0.16513761,0.39449541,0.34862385,0.72477064,0.09174312,0.33027523,0.64220183,0.33944954,0.11926606,0.2293578,1208.41072690972
0.80733945,0.85321101,0.08256881,0.39449541,0.51376147,0.44954128,0.16513761,0.1559633,0.83486239,0.01834862,0.81651376,513.042745801491
0.57798165,0.2293578,0.49541284,0.59633028,0.8440367,0.11926606,0.0733945,0.78899083,0.68807339,0.02752294,0.51376147,1080.39784295758
0.11926606,0.80733945,0.93577982,0.7706422,0.80733945,0.88990826,0.22018349,0.09174312,0.48623853,0.87155963,0.18348624,1876.68989520531
0.87155963,0.51376147,0.4587156,0.77981651,0.91743119,0.14678899,0.87155963,0.67889908,0.87155963,0.16513761,0.27522936,1088.46700455016
0.93577982,0.91743119,0.86238532,0.37614679,0.14678899,0.42201835,0.85321101,0.60550459,0.55045872,0.83486239,0.55045872,1561.66571353857
0.8440367,0.09174312,0.74311927,0.57798165,0.67889908,0.56880734,0.74311927,0.55963303,0.93577982,0.67889908,0.88073394,1295.72471981255
0.78899083,0.13761468,0.63302752,0.97247706,0.13761468,0.19266055,0.21100917,0.70642202,0.05504587,0.30275229,0.96330275,1268.17969453491
0.41284404,0.06422018,0.25688073,0.52293578,0.52293578,0.52293578,1,0.88990826,0.47706422,0.51376147,0.25688073,1104.39501515663
0.0733945,0.67889908,0.59633028,0.11926606,0.30275229,0.33944954,0.68807339,0.18348624,0.96330275,0.53211009,0.98165138,1502.90251136528
0.9266055,0.27522936,0.95412844,0.90825688,0.29357798,0.17431193,0.53211009,0.52293578,0.80733945,0.11009174,0.86238532,1197.1320968566
0.01834862,0.33027523,0.05504587,0.89908257,0.33944954,0.50458716,0.66972477,0.75229358,0.37614679,0.75229358,0.5412844,768.981844415584
0.16513761,0.66972477,0.48623853,0.67889908,0.44036697,0.44036697,0.3853211,0.02752294,0.27522936,0.59633028,0.87155963,1505.75088360151
0.49541284,0.0733945,0.69724771,0.74311927,0.11009174,0.12844037,0.59633028,0.22018349,0.42201835,0.79816514,0.8440367,1763.67702837331
0.77981651,0.59633028,0.55963303,0.26605505,0.19266055,0.77981651,0.65137615,0.28440367,1,0.2293578,0.28440367,1003.43681901187
0.68807339,0.01834862,0.66055046,0.60550459,0.0733945,0.66972477,0.70642202,0.11926606,0.88073394,0.57798165,0.41284404,1176.61761657732
0.85321101,0.73394495,0.88073394,0.27522936,0.28440367,0.3853211,0.32110092,0.04587156,0.21100917,0.88990826,0.76146789,1424.4045777246
0.88073394,0.55045872,0.99082569,0.66972477,0.53211009,0.0733945,0.77981651,0.10091743,0.11926606,0.73394495,0.44954128,1597.58583778074
0.64220183,0.41284404,0.79816514,0.44036697,0.09174312,0.33027523,0.5412844,0,0.49541284,0.69724771,0.48623853,1553.36110824969
0.97247706,0.12844037,0.23853211,0.41284404,0.49541284,0.89908257,0.71559633,0.19266055,0.76146789,0.12844037,0.77981651,697.427021350434
0.53211009,0.6146789,0.03669725,0.70642202,0.74311927,0.98165138,0.19266055,0.55045872,0.70642202,0.55045872,0.32110092,467.858211590519
0.40366972,0.68807339,0.16513761,0.36697248,0.18348624,0.62385321,0.60550459,0.42201835,0.22018349,0.18348624,0.19266055,805.955978803922
0.04587156,0.02752294,0.83486239,0.96330275,0.42201835,0.03669725,0.48623853,0.89908257,0.74311927,0.21100917,0.64220183,1796.63446307868
0.60550459,0.98165138,0.42201835,0.28440367,0.02752294,0.66055046,0.20183486,0.88073394,0.5412844,0.74311927,0.80733945,1263.48470915875
0.69724771,0.74311927,0.47706422,0.93577982,0.36697248,0.70642202,0.6146789,0.65137615,0.46788991,0.36697248,0.10091743,1185.52087948026
0.30275229,0.7706422,0.27522936,0.63302752,0.98165138,0.39449541,0.46788991,0.26605505,0.14678899,0.13761468,0.47706422,959.857511503729
0.65137615,0.1559633,0.11926606,0.68807339,0.87155963,0.22018349,0.99082569,0.13761468,0.98165138,0.20183486,0.59633028,694.713994496431
0.19266055,0.36697248,0.13761468,0.02752294,0.9266055,0.34862385,0.35779817,0.71559633,0.75229358,0.37614679,0.42201835,767.845984962678
0.2293578,0.87155963,0.20183486,0.24770642,0.89908257,0.85321101,0.8440367,0.24770642,0.71559633,0.68807339,0.95412844,875.523709002983
0.52293578,0.78899083,0.30275229,0.01834862,0.41284404,0.78899083,0.98165138,0.77981651,0.33027523,0.70642202,0.75229358,1014.85690132325
0.94495413,0.44954128,0.71559633,0.03669725,0.73394495,0.49541284,0.55963303,0.08256881,0.62385321,0.19266055,0.99082569,977.613947415292
0.63302752,0.21100917,0.09174312,0.85321101,0.68807339,0.7706422,0.36697248,0.99082569,0.13761468,0.85321101,0.97247706,676.18547743579
0.11009174,0.00917431,0.24770642,0.25688073,0.37614679,0.24770642,0.93577982,0.56880734,0.08256881,0.40366972,0.50458716,1055.55941462917
0.73394495,0.8440367,0.64220183,0.88990826,0.85321101,0.91743119,0.56880734,0.86238532,0.18348624,0.65137615,0.30275229,1261.80796026502
0.36697248,0.17431193,0.44954128,0.47706422,0,0.41284404,0.63302752,0.97247706,0.06422018,0.66972477,0.63302752,1527.38935434133
0.44954128,0.24770642,1,0.11009174,0.05504587,0.80733945,0.29357798,0.33027523,0.50458716,0.17431193,0.67889908,1266.51763717462
0.3853211,0.23853211,0.80733945,0.75229358,0.22018349,0.2293578,0.76146789,0.48623853,0.7706422,0.62385321,0.01834862,1795.16552976452
