"","RMSE","MaxE","fits"
"1",0.208611389963283,0.590111033068679,"fit1"
"2",0.196265504695391,0.417831294162463,"fit2"
"3",0.150171034158387,0.356898418777958,"fit3"
"4",0.120694509889317,0.428015388909113,"fit4"
"5",0.120270827731262,0.331231306361409,"fit5"
"6",0.109781268304458,0.343976685794805,"fit6"
"7",0.127154154675527,0.250181182747014,"fit7"
"8",0.181749954955662,0.418570326114355,"fit8"
"9",0.120717284738678,0.346465742277471,"fit9"
"10",0.152939371330848,0.317718011791081,"fit10"
"11",0.131534995488417,0.295853990279444,"fit11"
"12",0.131806961142623,0.297356928022857,"fit12"
"13",0.159950068314578,0.362902233651169,"fit13"
"14",0.182875542625004,0.354834539947637,"fit14"
"15",0.109225063452095,0.306221606511316,"fit15"
"16",0.110290385753185,0.284528074800527,"fit16"
"17",0.105655740750054,0.437815521798955,"fit17"
"18",0.162938969439623,0.337677476860318,"fit18"
"19",0.153687992272075,0.349707176910585,"fit19"
"20",0.105874301358907,0.293414992049187,"fit20"
"21",0.117037776372169,0.350830791322816,"fit21"
"22",0.143263676998583,0.336139025036935,"fit22"
"23",0.156286694160088,0.345693285727723,"fit23"
"24",0.126466930768515,0.365357915428169,"fit24"
"25",0.102098006442072,0.296708255120816,"fit25"
