"","RMSE","MaxE","iterations","size","train_set"
"1",0.00570141114559751,0.0134668253651958,"5","70","1"
"2",0.00580012722504325,0.0132940250681065,"10","70","1"
"3",0.00570398204896873,0.0135131946714271,"15","70","1"
"4",0.00551799807327846,0.0132222777032316,"20","70","1"
"5",0.00586434221705211,0.0131994407376974,"5","71","1"
"6",0.00583661063326696,0.0130028862555708,"10","71","1"
"7",0.00572156107083721,0.0131021634599553,"15","71","1"
"8",0.00552210626196673,0.0127492964309144,"20","71","1"
"9",0.00598706488418634,0.0126621420235689,"5","72","1"
"10",0.00585229985267824,0.0126618951427655,"10","72","1"
"11",0.00569072246346422,0.0126410096879707,"15","72","1"
"12",0.00546973076886715,0.0123445702996242,"20","72","1"
"13",0.00594321908969321,0.0125834754767929,"5","73","1"
"14",0.00579919565918456,0.0124103227681235,"10","73","1"
"15",0.00568244401983082,0.0123569006798761,"15","73","1"
"16",0.00548060552873657,0.0120207651735133,"20","73","1"
"17",0.00596163073002973,0.0127649669513746,"5","74","1"
"18",0.00557887585680776,0.0122663084887671,"10","74","1"
"19",0.00555263184669551,0.0120540246743403,"15","74","1"
"20",0.00548521167009153,0.0117551441547715,"20","74","1"
"21",0.00586603605012677,0.0124998268913174,"5","75","1"
"22",0.005646299243665,0.0122574690659286,"10","75","1"
"23",0.00566753715821503,0.0116927267792645,"15","75","1"
"24",0.00551537812105235,0.0115797661935961,"20","75","1"
"25",0.00580321678823703,0.0118590834642042,"5","76","1"
"26",0.00590273551758451,0.0112485658253638,"10","76","1"
"27",0.00580796726457063,0.0110894211027282,"15","76","1"
"28",0.00557400325008429,0.0111024534599346,"20","76","1"
"29",0.00584574125500724,0.0116546038720783,"5","77","1"
"30",0.00587936771234203,0.0108181250167939,"10","77","1"
"31",0.00585769142286491,0.0105429911926658,"15","77","1"
"32",0.00574779057288559,0.0106588797067992,"20","77","1"
"33",0.00594622263918659,0.0105692921250775,"5","78","1"
"34",0.00576957943569467,0.0105673943043472,"10","78","1"
"35",0.00573806850869156,0.0102646604625169,"15","78","1"
"36",0.00561269377923886,0.0102972368969902,"20","78","1"
"37",0.00614206491183433,0.00975372823193539,"5","79","1"
"38",0.00595910032006705,0.00989864760774244,"10","79","1"
"39",0.0058415468945049,0.00980068002408168,"15","79","1"
"40",0.00584109394484311,0.00991180797996268,"20","79","1"
