"","RMSE","MaxE","fits"
"1",0.00602626136106378,0.00934053878317066,"fit1"
"2",0.00478644762963592,0.0143429955773519,"fit2"
"3",0.00656869602016519,0.0245181739318351,"fit3"
"4",0.00669027254516188,0.021446886325703,"fit4"
"5",0.00805085686869399,0.0207934056709069,"fit5"
"6",0.0067750590697765,0.0221334250358692,"fit6"
"7",0.00629866093520998,0.0148352934698375,"fit7"
"8",0.00780744017145252,0.0272864629912059,"fit8"
"9",0.00695654441223323,0.0183768258339499,"fit9"
"10",0.00574398595331459,0.0149122909090861,"fit10"
"11",0.0053780610276962,0.0174695345987928,"fit11"
"12",0.00718228948041722,0.013207053121272,"fit12"
"13",0.00679850794619469,0.013420490249441,"fit13"
"14",0.006522660003635,0.0190193630934389,"fit14"
"15",0.0075809471442806,0.0307072651206011,"fit15"
"16",0.00543508582540614,0.017352699781307,"fit16"
"17",0.0066927500939855,0.0169868350959918,"fit17"
"18",0.00605244803773647,0.0228087638106412,"fit18"
"19",0.00772926984208317,0.0222768966298478,"fit19"
"20",0.00687401033904512,0.0187371479049029,"fit20"
"21",0.00513137837275898,0.0120015118300506,"fit21"
"22",0.00782790205970571,0.0139902468782299,"fit22"
"23",0.00821579379643092,0.0241348991670677,"fit23"
"24",0.00496536722004662,0.0124043142786979,"fit24"
"25",0.00784509004845884,0.0195461389648462,"fit25"
