"","RMSE","MaxE","fits"
"1",0.0218983251898012,0.069507293127816,"fit1"
"2",0.0186517752834908,0.0519773367222412,"fit2"
"3",0.0247170509116528,0.0683207107288447,"fit3"
"4",0.0263639330063968,0.0634098776826675,"fit4"
"5",0.0223447203511685,0.0573210674939066,"fit5"
"6",0.0578549630221164,0.163636030640834,"fit6"
"7",0.0180548529822871,0.0273436078379151,"fit7"
"8",0.0250684587393499,0.0674414381796465,"fit8"
"9",0.0228374260035359,0.0545432597761173,"fit9"
"10",0.0281620879410499,0.0303449867686995,"fit10"
"11",0.0233830568163889,0.0433760787020492,"fit11"
"12",0.0248500511458504,0.0673871921296461,"fit12"
"13",0.0245789115685168,0.0702105399254479,"fit13"
"14",0.0278962024372635,0.0499878412355665,"fit14"
"15",0.0262764296080275,0.0523688111534939,"fit15"
"16",0.0251192337495535,0.07732106399774,"fit16"
"17",0.0391433933546586,0.105412080598038,"fit17"
"18",0.0369216617008886,0.0739036548314601,"fit18"
"19",0.0226798378329803,0.0581938345541432,"fit19"
"20",0.0213951487985792,0.0402764621450607,"fit20"
"21",0.0479906539031027,0.104967651313018,"fit21"
"22",0.0381989387379074,0.0888964090713651,"fit22"
"23",0.033767171672169,0.0688060763671137,"fit23"
"24",0.0190171749006722,0.0525685011475805,"fit24"
"25",0.0322244575650759,0.0783664781678427,"fit25"
