"","RMSE","MaxE","fits"
"1",0.0608684773573209,0.214889518450099,"fit1"
"2",0.0643713198765965,0.242717890907442,"fit2"
"3",0.127678771182517,0.561153543696801,"fit3"
"4",0.0821636297645929,0.259864217485984,"fit4"
"5",0.0928600014283111,0.322461842208513,"fit5"
"6",0.0586886456289828,0.215266773990736,"fit6"
"7",0.116675151551649,0.276867744248131,"fit7"
"8",0.0633388245441023,0.257240175301121,"fit8"
"9",0.070166429337753,0.248286861279815,"fit9"
"10",0.0595607651223801,0.179843411536516,"fit10"
"11",0.150944064929297,0.361902052977678,"fit11"
"12",0.0720996515423719,0.25377901461911,"fit12"
"13",0.088400534908065,0.201701801139048,"fit13"
"14",0.0629339859802802,0.229182055514847,"fit14"
"15",0.0780161453050484,0.177065938718252,"fit15"
"16",0.136185713454574,0.365260089216605,"fit16"
"17",0.0663612090039048,0.226075217914555,"fit17"
"18",0.0623765585479813,0.244052146834708,"fit18"
"19",0.103818168180641,0.312851019333556,"fit19"
"20",0.0782142223259978,0.229103139690921,"fit20"
"21",0.0901379731372071,0.23657441402462,"fit21"
"22",0.0574333283285762,0.250210370531255,"fit22"
"23",0.119009945500909,0.387095104477992,"fit23"
"24",0.0636178475939334,0.244957673087544,"fit24"
"25",0.101497147314022,0.26294925237781,"fit25"
