"","RMSE","MaxE","iterations","size","train_set"
"1",0.0644571637123999,0.242830579672742,"5","170","1"
"2",0.0620727572698614,0.225808645644317,"10","170","1"
"3",0.0597102414782303,0.238151111697504,"15","170","1"
"4",0.0591038192098487,0.243705800723447,"20","170","1"
"5",0.0584194450358841,0.237134803289386,"5","190","1"
"6",0.0585558541542526,0.223878746143144,"10","190","1"
"7",0.0593037664107872,0.220801095792537,"15","190","1"
"8",0.0586027062681499,0.223090148351543,"20","190","1"
"9",0.0574975175692917,0.232372403356397,"5","195","1"
"10",0.0581564724480516,0.22076344701096,"10","195","1"
"11",0.058763778248774,0.219398247559969,"15","195","1"
"12",0.0586240834282963,0.222538862108074,"20","195","1"
"13",0.0610025911226153,0.236931082487759,"5","200","1"
"14",0.0598302912100971,0.225914198590136,"10","200","1"
"15",0.0597581129459168,0.222095728037153,"15","200","1"
"16",0.0591599302723124,0.223187188701176,"20","200","1"
"17",0.0594773335414513,0.232674284528124,"5","205","1"
"18",0.0593558121445331,0.222519297556521,"10","205","1"
"19",0.0594859260681442,0.219587163295933,"15","205","1"
"20",0.0594242917160368,0.220157339721909,"20","205","1"
"21",0.0591089232693544,0.228945896784859,"5","210","1"
"22",0.0596069943072785,0.220594890284222,"10","210","1"
"23",0.0597661872415087,0.217404916812406,"15","210","1"
"24",0.0598354194697039,0.217329878384513,"20","210","1"
"25",0.059932639375026,0.220656350643017,"5","215","1"
"26",0.0599947837888128,0.215110251885443,"10","215","1"
"27",0.0600901237217872,0.213317410885166,"15","215","1"
"28",0.060224981648776,0.214588885077115,"20","215","1"
"29",0.0639421546526151,0.261739898128819,"5","170","2"
"30",0.0618693500717491,0.274422188128306,"10","170","2"
"31",0.0616422092842753,0.273990105939531,"15","170","2"
"32",0.0619776101115318,0.276435668723162,"20","170","2"
"33",0.0623417317759514,0.235078687199571,"5","190","2"
"34",0.0632367772511123,0.255732177752797,"10","190","2"
"35",0.0627617470909058,0.26649523807562,"15","190","2"
"36",0.062539145271851,0.262133370635877,"20","190","2"
"37",0.0621854111382381,0.235485030562745,"5","195","2"
"38",0.0627138768785675,0.254446165297861,"10","195","2"
"39",0.0624355183570062,0.263993327770005,"15","195","2"
"40",0.0622613464937153,0.256370063901229,"20","195","2"
"41",0.0630685603859933,0.24025407296631,"5","200","2"
"42",0.0633587556400981,0.257542426386363,"10","200","2"
"43",0.0626106806339387,0.25623510894987,"15","200","2"
"44",0.0625743946630023,0.252076535002526,"20","200","2"
"45",0.0634303485247117,0.239599694169134,"5","205","2"
"46",0.0638168707047566,0.256270652666295,"10","205","2"
"47",0.0632967585925196,0.254660063217553,"15","205","2"
"48",0.0632270743966501,0.251658168059321,"20","205","2"
"49",0.0638693340876258,0.244441890104742,"5","210","2"
"50",0.0640420318290669,0.257744307127858,"10","210","2"
"51",0.0636999008459046,0.257248923270731,"15","210","2"
"52",0.0636450187190754,0.252396117648549,"20","210","2"
"53",0.0647636289674737,0.245335539666542,"5","215","2"
"54",0.0645444123021975,0.245289049624188,"10","215","2"
"55",0.0640616665513973,0.242296141534127,"15","215","2"
"56",0.0640745086373128,0.241363975204844,"20","215","2"
"57",0.140943974664065,0.577039857015263,"5","170","3"
"58",0.133173022121659,0.573762388452715,"10","170","3"
"59",0.0899044553501391,0.439560716574284,"15","170","3"
"60",0.0879118290173901,0.414392697144572,"20","170","3"
"61",0.131208062333696,0.592506891501995,"5","190","3"
"62",0.130443916270959,0.571206445034549,"10","190","3"
"63",0.10351903781837,0.479678265332738,"15","190","3"
"64",0.0932643447434911,0.431863880688367,"20","190","3"
"65",0.126426933555273,0.55219147162582,"5","195","3"
"66",0.128218553334039,0.559438470390074,"10","195","3"
"67",0.102519913099633,0.486339979749474,"15","195","3"
"68",0.0917364772191851,0.436112040006313,"20","195","3"
"69",0.125977695143215,0.558214961016178,"5","200","3"
"70",0.124353251224269,0.559531364662648,"10","200","3"
"71",0.125614978656416,0.56635571594989,"15","200","3"
"72",0.124237204037343,0.55950007951241,"20","200","3"
"73",0.125488144421768,0.570935891468831,"5","205","3"
"74",0.122962354376515,0.559711415053034,"10","205","3"
"75",0.124127411232113,0.560980485473234,"15","205","3"
"76",0.124483117831691,0.564338229643207,"20","205","3"
"77",0.126787173346861,0.562689177551152,"5","210","3"
"78",0.124171842569522,0.555711844025381,"10","210","3"
"79",0.124636502468911,0.557315179086764,"15","210","3"
"80",0.124907093817215,0.561339786142953,"20","210","3"
"81",0.126381552281834,0.562019861061718,"5","215","3"
"82",0.125115365738965,0.554884710208672,"10","215","3"
"83",0.125709492923578,0.559314634492859,"15","215","3"
"84",0.125634485171077,0.562284102071668,"20","215","3"
"85",0.086555502350138,0.310250803639077,"5","170","4"
"86",0.0839570365551655,0.298360569014348,"10","170","4"
"87",0.0809882423842589,0.30534045484852,"15","170","4"
"88",0.0775955590583942,0.301433099926065,"20","170","4"
"89",0.0821611317370166,0.291728498825355,"5","190","4"
"90",0.0817382819168267,0.288991086678153,"10","190","4"
"91",0.077013649277571,0.285725312093806,"15","190","4"
"92",0.0748469261487096,0.288333966369669,"20","190","4"
"93",0.0813528523431802,0.284205131647349,"5","195","4"
"94",0.0811646547948563,0.285692132131202,"10","195","4"
"95",0.0767325216033806,0.283338803356812,"15","195","4"
"96",0.0745494890723715,0.287148422271178,"20","195","4"
"97",0.0809176168318921,0.280065465767743,"5","200","4"
"98",0.0812191013208938,0.282235057167097,"10","200","4"
"99",0.0808459265945947,0.277870509815563,"15","200","4"
"100",0.076803024177078,0.277574070634435,"20","200","4"
"101",0.0817684951286399,0.282739081043716,"5","205","4"
"102",0.0819273192045539,0.274578914874969,"10","205","4"
"103",0.0816720700275029,0.275958686072865,"15","205","4"
