"","RMSE","MaxE","iterations","size","train_set"
"1",0.153088601234913,0.466194824057403,"5","30","1"
"2",0.170588874613735,0.507028907054503,"10","30","1"
"3",0.171019039600879,0.515546357493608,"15","30","1"
"4",0.161726486542944,0.494204001862153,"20","30","1"
"5",0.149956238112816,0.459152044405729,"5","31","1"
"6",0.164501044673049,0.494890030625282,"10","31","1"
"7",0.168107384371672,0.50884022284915,"15","31","1"
"8",0.16299940240627,0.490249022504193,"20","31","1"
"9",0.146550441447498,0.450556324145082,"5","32","1"
"10",0.147702634540522,0.452450087174554,"10","32","1"
"11",0.156975792570121,0.482938659670852,"15","32","1"
"12",0.153669462432009,0.478410442800013,"20","32","1"
"13",0.142679989485365,0.451583724565226,"5","33","1"
"14",0.145121206019865,0.436848671336754,"10","33","1"
"15",0.155072151514001,0.469547111074309,"15","33","1"
"16",0.152869527842569,0.468050864418187,"20","33","1"
"17",0.148671353074431,0.47347491865739,"5","34","1"
"18",0.14264528102673,0.419136879685582,"10","34","1"
"19",0.146655338368086,0.44237841230224,"15","34","1"
"20",0.144908656673513,0.437022841335908,"20","34","1"
"21",0.143379476921651,0.438381940428285,"5","35","1"
"22",0.135942547205796,0.392330441944156,"10","35","1"
"23",0.143814176117457,0.429451359744405,"15","35","1"
"24",0.139816399941239,0.393461181504038,"20","35","1"
"25",0.134833323638098,0.35810432233135,"5","36","1"
"26",0.130923635443749,0.330651948190879,"10","36","1"
"27",0.135679413567212,0.368121940088623,"15","36","1"
"28",0.134303252678274,0.342768443342131,"20","36","1"
"29",0.135057377321891,0.36018492297493,"5","37","1"
"30",0.131798489218422,0.337013633838165,"10","37","1"
"31",0.136342671392308,0.373355759696954,"15","37","1"
"32",0.134954372247029,0.34989812477309,"20","37","1"
"33",0.131684988057402,0.336073040830412,"5","38","1"
"34",0.13493972858368,0.343747654733373,"10","38","1"
"35",0.137775916472207,0.375073896903705,"15","38","1"
"36",0.136117050628243,0.351289140765069,"20","38","1"
"37",0.134615615185335,0.324206219792983,"5","39","1"
"38",0.133677192794802,0.326314483006429,"10","39","1"
"39",0.133232507543647,0.328656757008122,"15","39","1"
"40",0.133737278794587,0.32846199640339,"20","39","1"
"41",0.0990336686351552,0.227264955186209,"5","30","2"
"42",0.0917077052275017,0.206445057090463,"10","30","2"
"43",0.0927411017414696,0.209229723296042,"15","30","2"
"44",0.0915278444590641,0.217769356664645,"20","30","2"
"45",0.099367845374506,0.204928328840694,"5","31","2"
"46",0.0947403168353832,0.228448869230132,"10","31","2"
"47",0.0966021871152707,0.224706332131016,"15","31","2"
"48",0.0975221952517814,0.250746964118249,"20","31","2"
"49",0.100028261063176,0.222782810023696,"5","32","2"
"50",0.0853235240141106,0.197644679557944,"10","32","2"
"51",0.0858002302500176,0.181334170126906,"15","32","2"
"52",0.0859690042757124,0.211676404851159,"20","32","2"
"53",0.0832738657464897,0.177582755751469,"5","33","2"
"54",0.0779817028136184,0.175875459278795,"10","33","2"
"55",0.0780606029562097,0.179559069949794,"15","33","2"
"56",0.0793556523586454,0.180795419658806,"20","33","2"
"57",0.0905614846066679,0.214505505781864,"5","34","2"
"58",0.0777687416263874,0.171631265422141,"10","34","2"
"59",0.0760711823039153,0.177407741340025,"15","34","2"
"60",0.078874731407118,0.183714360581707,"20","34","2"
"61",0.0807440713708023,0.24212307883042,"5","35","2"
"62",0.0745492647208939,0.197206364843646,"10","35","2"
"63",0.0745331133392196,0.188719761821914,"15","35","2"
"64",0.0757390989106838,0.194996216473173,"20","35","2"
"65",0.0773707473410408,0.234926993393687,"5","36","2"
"66",0.0727492487252328,0.227168655353697,"10","36","2"
"67",0.0738823817389683,0.229983897683564,"15","36","2"
"68",0.0754673994668335,0.227314811168628,"20","36","2"
"69",0.0791142685665739,0.231105713206385,"5","37","2"
"70",0.0726217480562161,0.198531537392754,"10","37","2"
"71",0.0725806922137354,0.212455491148877,"15","37","2"
"72",0.0740760225969783,0.22004003115316,"20","37","2"
"73",0.07751029370854,0.228648405908423,"5","38","2"
"74",0.0731331973675866,0.212682929928816,"10","38","2"
"75",0.0726245367373485,0.225750826110325,"15","38","2"
"76",0.0737011448875622,0.229183289466383,"20","38","2"
"77",0.07841381412514,0.256024933576085,"5","39","2"
"78",0.0760553650593225,0.253439591480966,"10","39","2"
"79",0.0753064623521861,0.255948828033237,"15","39","2"
"80",0.0759008290240726,0.252638455181487,"20","39","2"
"81",0.152398531747835,0.438558589565816,"5","30","3"
"82",0.117183173779579,0.309700518310031,"10","30","3"
"83",0.114828054703787,0.292569848658088,"15","30","3"
"84",0.123835523265801,0.432591902532401,"20","30","3"
"85",0.164923449314054,0.437948966739979,"5","31","3"
"86",0.131777513156708,0.323949474343011,"10","31","3"
"87",0.130162748404831,0.325754011714229,"15","31","3"
"88",0.133874342936649,0.441579200310353,"20","31","3"
"89",0.159455365733654,0.446009807936817,"5","32","3"
"90",0.125641807126094,0.341881657512872,"10","32","3"
"91",0.126047249147249,0.334917004013949,"15","32","3"
"92",0.133414117209344,0.440092098308155,"20","32","3"
"93",0.159057386921639,0.453653926077588,"5","33","3"
"94",0.119850172887928,0.319218249222573,"10","33","3"
"95",0.121549180434206,0.314682437861504,"15","33","3"
"96",0.129760521047311,0.456711460589459,"20","33","3"
"97",0.142077447975088,0.350230911183938,"5","34","3"
