"","RMSE","MaxE","fits"
"1",0.132819456459394,0.332217630901112,"fit1"
"2",0.0769784911163986,0.260150782966301,"fit2"
"3",0.108038848336703,0.265295189019041,"fit3"
"4",0.100472642360724,0.225648254756038,"fit4"
"5",0.117378537741751,0.32359557302519,"fit5"
"6",0.119237076676694,0.384316421576502,"fit6"
"7",0.120113817089169,0.331818862354732,"fit7"
"8",0.0905859183261163,0.235358321996812,"fit8"
"9",0.129062583349719,0.40516210172243,"fit9"
"10",0.120880913950975,0.26566046199989,"fit10"
"11",0.176509975723098,0.610946290095586,"fit11"
"12",0.0901566438647545,0.265529635608092,"fit12"
"13",0.0805015174339245,0.247298669227681,"fit13"
"14",0.100150937185284,0.26171642240236,"fit14"
"15",0.100546112848648,0.243507038295999,"fit15"
"16",0.120558029152342,0.343590457738365,"fit16"
"17",0.0922885656520548,0.289181967380182,"fit17"
"18",0.194815926999489,0.569148046712777,"fit18"
"19",0.0891366817975876,0.376546340676952,"fit19"
"20",0.138187267747864,0.538872056568126,"fit20"
"21",0.122620544689627,0.366563648865618,"fit21"
"22",0.103932825821485,0.217077977677658,"fit22"
"23",0.103445328403965,0.335459515340386,"fit23"
"24",0.0687907261078484,0.229628997726109,"fit24"
