"","RMSE","MaxE","fits"
"1",0.00185320291268279,0.00517281461502907,"fit1"
"2",0.00193146827023301,0.00611596336104186,"fit2"
"3",0.00158178572402996,0.00435308532050177,"fit3"
"4",0.00171152900073445,0.00518412405382506,"fit4"
"5",0.00177031081683231,0.00401436509045685,"fit5"
"6",0.00230544878643317,0.0061190606810799,"fit6"
"7",0.00175652942126789,0.00570889021782371,"fit7"
"8",0.0020849600390364,0.0072289536612456,"fit8"
"9",0.00146827812329153,0.00439082844993566,"fit9"
"10",0.00191339903443941,0.00856768267907616,"fit10"
"11",0.00149911542842739,0.00498303015666722,"fit11"
"12",0.00175188863165953,0.0038321681663067,"fit12"
"13",0.00179806576196119,0.00625666859045303,"fit13"
"14",0.00161163664575769,0.00535398594568932,"fit14"
"15",0.00188087032044667,0.00626404661822401,"fit15"
"16",0.00198594383717901,0.00584562038050521,"fit16"
"17",0.0021071519440904,0.00859154268593964,"fit17"
"18",0.00187325845892511,0.00628767442425594,"fit18"
"19",0.00163532634550292,0.00472680173933274,"fit19"
"20",0.00170394014842586,0.00570155647808795,"fit20"
"21",0.00208845988167368,0.00598376606357134,"fit21"
"22",0.00178007402244796,0.00494135329284831,"fit22"
"23",0.0016980100508081,0.00623039983916615,"fit23"
"24",0.00151033148586558,0.00601092078498193,"fit24"
"25",0.00154037727297488,0.00575334852832614,"fit25"
