"","RMSE","MaxE","fits"
"1",0.0473311897464345,0.212150840856247,"fit1"
"2",0.0360135502032748,0.131511757973216,"fit2"
"3",0.0528541989396789,0.180679678188087,"fit3"
"4",0.0474631730971108,0.236009433928807,"fit4"
"5",0.0509911654441196,0.199121007971916,"fit5"
"6",0.0368683069588618,0.122123581896149,"fit6"
"7",0.050163627645095,0.239933982532837,"fit7"
"8",0.0421049384770213,0.132279446400611,"fit8"
"9",0.0346350165223045,0.155493092271581,"fit9"
"10",0.0498795039967991,0.187049503840762,"fit10"
"11",0.0392348616330541,0.141651523344587,"fit11"
"12",0.0465733897210105,0.142576532895364,"fit12"
"13",0.0456991628615638,0.148566684792735,"fit13"
"14",0.0554920181270566,0.204315340775532,"fit14"
"15",0.0441557015927486,0.123682089858544,"fit15"
"16",0.0464125900147256,0.219249399493884,"fit16"
"17",0.0458675388293497,0.170890854640827,"fit17"
"18",0.0398156046169562,0.116122572795856,"fit18"
"19",0.0546547313437796,0.250556469215329,"fit19"
"20",0.0416513425949714,0.16674546309948,"fit20"
"21",0.0482648503752356,0.138160612775776,"fit21"
"22",0.0393585788387201,0.158829038122528,"fit22"
"23",0.0595111053611949,0.275635556863257,"fit23"
"24",0.051354171971635,0.207890935393093,"fit24"
